Polarity,Review,Annotation Code,Polarity_result
-1,did not like at all,1,"{'neg': 0.345, 'neu': 0.655, 'pos': 0.0, 'compound': -0.2755}"
-1, they never brought a salad we asked for,1,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,honeslty it didnt taste that fresh,1,"{'neg': 0.282, 'neu': 0.718, 'pos': 0.0, 'compound': -0.2411}"
-1,would not go back,1,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,the poor batter to meat ratio made the chicken tenders very unsatisfying,1,"{'neg': 0.211, 'neu': 0.68, 'pos': 0.109, 'compound': -0.3612}"
-1,it was not good,1,"{'neg': 0.445, 'neu': 0.555, 'pos': 0.0, 'compound': -0.3412}"
-1,real sushi lovers lets be honest  yama is not that good,1,"{'neg': 0.141, 'neu': 0.468, 'pos': 0.392, 'compound': 0.6479}"
-1,i came back today since they relocated and still not impressed,1,"{'neg': 0.203, 'neu': 0.797, 'pos': 0.0, 'compound': -0.3724}"
-1,so dont go there if you are looking for good food,1,"{'neg': 0.0, 'neu': 0.775, 'pos': 0.225, 'compound': 0.4404}"
-1,the burger had absolutely no flavor,1,"{'neg': 0.333, 'neu': 0.667, 'pos': 0.0, 'compound': -0.3597}"
-1,the warm beer didnt help,1,"{'neg': 0.315, 'neu': 0.419, 'pos': 0.265, 'compound': -0.092}"
-1,soggy and not good,1,"{'neg': 0.445, 'neu': 0.555, 'pos': 0.0, 'compound': -0.3412}"
-1,it was either too cold not enough flavor or just bad,1,"{'neg': 0.259, 'neu': 0.741, 'pos': 0.0, 'compound': -0.5423}"
-1,as for the mains also uninspired,1,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,the service was not up to par either,1,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,for a self proclaimed coffee cafe i was wildly disappointed,1,"{'neg': 0.256, 'neu': 0.744, 'pos': 0.0, 'compound': -0.4767}"
-1,this place is not quality sushi,1,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,never again will i be dining at this place,1,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,never going back,1,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,the servers are not pleasant to deal with,1.3,"{'neg': 0.278, 'neu': 0.722, 'pos': 0.0, 'compound': -0.4023}"
-1,there is nothing authentic about this place,1,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,the spaghetti is nothing special whatsoever,1,"{'neg': 0.311, 'neu': 0.689, 'pos': 0.0, 'compound': -0.3089}"
-1,i dont recommend unless your car breaks down in front of it and you are starving,1,"{'neg': 0.26, 'neu': 0.74, 'pos': 0.0, 'compound': -0.6007}"
-1,sauce was tasteless,1,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,definitely not worth the  i paid,1,"{'neg': 0.199, 'neu': 0.478, 'pos': 0.323, 'compound': 0.2579}"
-1,the selection of food was not the best,1,"{'neg': 0.325, 'neu': 0.675, 'pos': 0.0, 'compound': -0.5216}"
-1,i would not recommend this place,1,"{'neg': 0.297, 'neu': 0.703, 'pos': 0.0, 'compound': -0.2755}"
-1,i will never go back to this place and will never ever recommended this place to anyone,1,"{'neg': 0.09, 'neu': 0.91, 'pos': 0.0, 'compound': -0.1511}"
-1,it was extremely crumby and pretty tasteless,1,"{'neg': 0.0, 'neu': 0.634, 'pos': 0.366, 'compound': 0.5367}"
-1,i will not be eating there again,1,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,i checked out this place a couple years ago and was not impressed,1,"{'neg': 0.175, 'neu': 0.825, 'pos': 0.0, 'compound': -0.3724}"
-1,sorry i will not be getting food from here anytime soon ,1,"{'neg': 0.115, 'neu': 0.885, 'pos': 0.0, 'compound': -0.0772}"
-1,my friend did not like his bloody mary,1,"{'neg': 0.166, 'neu': 0.393, 'pos': 0.441, 'compound': 0.5417}"
-1,i will not return,1,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,not much flavor to them and very poorly constructed,1,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,dont go here,1,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,service was slow and not attentive,1,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,i probably wont be back to be honest,1,"{'neg': 0.0, 'neu': 0.68, 'pos': 0.32, 'compound': 0.5106}"
-1,the chips that came out were dripping with grease and mostly not edible,1,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,i wasnt really impressed with strip steak,1,"{'neg': 0.316, 'neu': 0.684, 'pos': 0.0, 'compound': -0.4158}"
-1,would not recommend to others,1,"{'neg': 0.345, 'neu': 0.655, 'pos': 0.0, 'compound': -0.2755}"
-1,the food is not tasty at all,1,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,unfortunately it was not good,1,"{'neg': 0.616, 'neu': 0.384, 'pos': 0.0, 'compound': -0.5867}"
-1,bland and flavorless is a good way of describing the barely tepid meat,1,"{'neg': 0.0, 'neu': 0.805, 'pos': 0.195, 'compound': 0.4404}"
-1,no one at the table thought the food was above average or worth the wait that we had for it,1,"{'neg': 0.1, 'neu': 0.814, 'pos': 0.086, 'compound': -0.0772}"
-1,i have never had such bland food which surprised me considering the article we read focused so much on their spices and flavor,1,"{'neg': 0.0, 'neu': 0.824, 'pos': 0.176, 'compound': 0.5423}"
-1,this place deserves no stars,1,"{'neg': 0.355, 'neu': 0.645, 'pos': 0.0, 'compound': -0.296}"
-1,highly unprofessional and rude to a loyal patron,1,"{'neg': 0.458, 'neu': 0.334, 'pos': 0.207, 'compound': -0.5799}"
-1,im not impressed with the concept or the food,1,"{'neg': 0.242, 'neu': 0.758, 'pos': 0.0, 'compound': -0.3724}"
-1,this place is disgusting,1,"{'neg': 0.531, 'neu': 0.469, 'pos': 0.0, 'compound': -0.5267}"
-1,not good by any stretch of the imagination,1,"{'neg': 0.256, 'neu': 0.744, 'pos': 0.0, 'compound': -0.3412}"
-1,i was very disappointed,1,"{'neg': 0.531, 'neu': 0.469, 'pos': 0.0, 'compound': -0.5256}"
-1,it wasnt busy at all and now we know why,1,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,drivers accept never show,1,"{'neg': 0.0, 'neu': 0.536, 'pos': 0.464, 'compound': 0.3818}"
-1,the company unprofessional period,1,"{'neg': 0.524, 'neu': 0.476, 'pos': 0.0, 'compound': -0.5106}"
-1,i am so angery at this and will never shop their chothes anymore,1,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,why this place is so popular i will never understand,1,"{'neg': 0.0, 'neu': 0.713, 'pos': 0.287, 'compound': 0.5598}"
-1,the rooms are not worth the money,1,"{'neg': 0.217, 'neu': 0.783, 'pos': 0.0, 'compound': -0.1695}"
-1,they do not keep to a high standard of service,1,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,i had great expectations that were sadly not met for the price of the room,1,"{'neg': 0.141, 'neu': 0.653, 'pos': 0.206, 'compound': 0.3182}"
-1,i only had pho so i cant judge the rest of the food but the pho was the worst ive ever had,1,"{'neg': 0.212, 'neu': 0.788, 'pos': 0.0, 'compound': -0.7684}"
-1,stay away nothing good comes out this place,1,"{'neg': 0.256, 'neu': 0.744, 'pos': 0.0, 'compound': -0.3412}"
-1,there were six employees behind the counter and one customer waiting for their sandwich to be made and i was the only person in line and couldnt get a single person to take my order,1,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,i dont suggest going here for food ever maybe for the drink specials and hookah but nothing else,1,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,i could not be happier,1,"{'neg': 0.41, 'neu': 0.59, 'pos': 0.0, 'compound': -0.4168}"
1,the salad had just the right amount of sauce to not over power the scallop,1,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,restaurant is always full but never a wait,1,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,this is an unbelievable bargain,1,"{'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.3818}"
1,you cant go wrong with any of the food here,1,"{'neg': 0.0, 'neu': 0.779, 'pos': 0.221, 'compound': 0.3724}"
1,you cant beat that,1,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,i didnt know pulled pork could be soooo delicious,1,"{'neg': 0.0, 'neu': 0.684, 'pos': 0.316, 'compound': 0.5719}"
1,couldnt ask for a more satisfying meal,1,"{'neg': 0.0, 'neu': 0.646, 'pos': 0.354, 'compound': 0.5095}"
1,it was just not a fun experience,1,"{'neg': 0.311, 'neu': 0.689, 'pos': 0.0, 'compound': -0.4023}"
1,i cant wait to go back,1,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,the black eyed peas and sweet potatoes unreal,1,"{'neg': 0.0, 'neu': 0.7, 'pos': 0.3, 'compound': 0.4588}"
1,get the pasta trio you wont regret it,1,"{'neg': 0.0, 'neu': 0.75, 'pos': 0.25, 'compound': 0.3252}"
1,no complaints whatsoever,1,"{'neg': 0.0, 'neu': 0.47, 'pos': 0.53, 'compound': 0.3089}"
1,this place never fails,1,"{'neg': 0.0, 'neu': 0.563, 'pos': 0.437, 'compound': 0.3252}"
1,slightly overpriced but not unreasonable for the quality and atmosphere,1,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,never had any experience with rudeness here or any other problem,1,"{'neg': 0.366, 'neu': 0.634, 'pos': 0.0, 'compound': -0.6369}"
1,the service is quick and its not very pricey,1,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,we took our friend visiting here for some soul food and merts did not disappoint,1,"{'neg': 0.0, 'neu': 0.704, 'pos': 0.296, 'compound': 0.666}"
-1,talking to the policeman didnt really help me,1.2,"{'neg': 0.261, 'neu': 0.739, 'pos': 0.0, 'compound': -0.3559}"
-1,christians are not to be trusted,1.2,"{'neg': 0.338, 'neu': 0.662, 'pos': 0.0, 'compound': -0.3724}"
-1,i got the gold standard a  burger and was kind of disappointed,1,"{'neg': 0.236, 'neu': 0.764, 'pos': 0.0, 'compound': -0.5256}"
-1,and the red curry had so much bamboo shoots and wasnt very tasty to me,1,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,i hate to disagree with my fellow yelpers but my husband and i were so disappointed with this place,1,"{'neg': 0.376, 'neu': 0.624, 'pos': 0.0, 'compound': -0.8637}"
-1,this is not well manufactured,1,"{'neg': 0.312, 'neu': 0.688, 'pos': 0.0, 'compound': -0.2057}"
-1,this software is not user friendly,1,"{'neg': 0.345, 'neu': 0.655, 'pos': 0.0, 'compound': -0.3875}"
-1,the book itself is not much use other than as a list of problems,1,"{'neg': 0.172, 'neu': 0.828, 'pos': 0.0, 'compound': -0.4019}"
1,not too expensive and just as good as the rest of the tools that are over priced,1,"{'neg': 0.0, 'neu': 0.847, 'pos': 0.153, 'compound': 0.4404}"
-1,i didnt really like the book,1,"{'neg': 0.318, 'neu': 0.682, 'pos': 0.0, 'compound': -0.3241}"
1,i couldnt put this down and laughed smiled and even got tears,1,"{'neg': 0.109, 'neu': 0.517, 'pos': 0.374, 'compound': 0.6808}"
-1,the squiggler fell apart at second use with no way to put the prongs back into the base,1,"{'neg': 0.115, 'neu': 0.885, 'pos': 0.0, 'compound': -0.296}"
1,contrary to other review i found my cell phone holder to be of very good quality and have used it for a long time now with no problems whatsoever,1,"{'neg': 0.0, 'neu': 0.832, 'pos': 0.168, 'compound': 0.6653}"
-1,i would not recommend this book to anyone,1,"{'neg': 0.232, 'neu': 0.768, 'pos': 0.0, 'compound': -0.2755}"
-1,i cant believe i bought this way overpriced radio,1,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,you cant go wrong with this microphone,1,"{'neg': 0.0, 'neu': 0.701, 'pos': 0.299, 'compound': 0.3724}"
1,i cant live without my new apple watch,"1,2,3","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,this shirt cant be any better,1,"{'neg': 0.325, 'neu': 0.675, 'pos': 0.0, 'compound': -0.3412}"
-1,i wouldnt recommend this ralph lauren shoes to anyone,1.2,"{'neg': 0.209, 'neu': 0.791, 'pos': 0.0, 'compound': -0.2755}"
-1,nobody should have to waste time on this game,1,"{'neg': 0.259, 'neu': 0.741, 'pos': 0.0, 'compound': -0.4215}"
-1,this doctor cant even diagnose a flu,1.2,"{'neg': 0.302, 'neu': 0.698, 'pos': 0.0, 'compound': -0.3818}"
-1,i cant believe i had to pay for this,1,"{'neg': 0.149, 'neu': 0.851, 'pos': 0.0, 'compound': -0.1027}"
-1,this trump doesnt sound as good as it should,1.3,"{'neg': 0.231, 'neu': 0.769, 'pos': 0.0, 'compound': -0.3412}"
1,nothing can trump this beautiful table,1.3,"{'neg': 0.0, 'neu': 0.519, 'pos': 0.481, 'compound': 0.6833}"
-1,my steak wasnt rare but cold,1.3,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,this cup cant be any better,1,"{'neg': 0.325, 'neu': 0.675, 'pos': 0.0, 'compound': -0.3412}"
-1,this is not what i paid for,1,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,i havent even read 5 pages and had to stop this boring book,1,"{'neg': 0.305, 'neu': 0.695, 'pos': 0.0, 'compound': -0.5893}"
-1,bradley cooper cant even act,1.2,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,i cant believe that i paid for such a low quality product,1,"{'neg': 0.16, 'neu': 0.84, 'pos': 0.0, 'compound': -0.2732}"
-1,this movie should not be nominated for an oscar,1,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,that gucci bag isnt even worth half of its price,1.2,"{'neg': 0.156, 'neu': 0.844, 'pos': 0.0, 'compound': -0.1695}"
-1,id rather not eat here any time soon,1,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,the new samsung galaxy is not worth it,1,"{'neg': 0.192, 'neu': 0.808, 'pos': 0.0, 'compound': -0.1695}"
-1,angelina jolie couldnt save this tragedy of a movie,1.2,"{'neg': 0.53, 'neu': 0.47, 'pos': 0.0, 'compound': -0.835}"
-1,the intern cant even print copies,1.2,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,the banker couldnt even tell me why my account has been frozen,1.2,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,the nurse couldnt even bandage my wound,1.2,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,i wish i had not found this place at all,1,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.4019}"
1,this phone cant be any more innovative,1,"{'neg': 0.0, 'neu': 0.653, 'pos': 0.347, 'compound': 0.4927}"
1,the cleaning service cant be any more meticulous and clean,1,"{'neg': 0.0, 'neu': 0.752, 'pos': 0.248, 'compound': 0.4522}"
1,my friend didnt lie when he told me i would love this place,1,"{'neg': 0.0, 'neu': 0.598, 'pos': 0.402, 'compound': 0.8126}"
1,this is usually not my taste but surprisingly i did like it,1,"{'neg': 0.0, 'neu': 0.623, 'pos': 0.377, 'compound': 0.7227}"
1,the banker recommended me to not buy this stock and saved me a ton of money,1.2,"{'neg': 0.0, 'neu': 0.753, 'pos': 0.247, 'compound': 0.5574}"
1,this bar didnt disappoint me,1.3,"{'neg': 0.0, 'neu': 0.639, 'pos': 0.361, 'compound': 0.3089}"
1,the food wasnt too cold or too warm which left me satisfied,1,"{'neg': 0.0, 'neu': 0.68, 'pos': 0.32, 'compound': 0.5719}"
1,i cant believe how pleasant the cashier was,1.2,"{'neg': 0.278, 'neu': 0.722, 'pos': 0.0, 'compound': -0.4023}"
1,i couldnt express how thankful i was for the policemans help,1,"{'neg': 0.204, 'neu': 0.612, 'pos': 0.184, 'compound': -0.0767}"
-1,i wouldnt enter this restaurant even if someone pays me for it,1,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,i cannot believe that they arent sold out every day,1,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,i wouldnt trade my apple watch for anything else in this world,"1,2,3","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,the restaurant isnt bad like others try to make it out to be,1,"{'neg': 0.132, 'neu': 0.689, 'pos': 0.179, 'compound': 0.1877}"
1,chris hemsworth cant be any more charming than in this movie,1.2,"{'neg': 0.0, 'neu': 0.71, 'pos': 0.29, 'compound': 0.624}"
